,Position,Candidate,Violation #,Description,Help,HelpUrl,Id,Impact,Tags,Website ,failureSummary:html
20,MAYOR,Echohawk,2,Ensures the contrast between foreground and background colors meets WCAG 2 AA contrast ratio thresholds,Elements must have sufficient color contrast,https://dequeuniversity.com/rules/axe/3.1/color-contrast?application=axeAPI,color-contrast,serious,"['cat.color', 'wcag2aa', 'wcag143']",https://www.echohawkforseattle.com/,"{'Fix any of the following:\n  Element has insufficient color contrast of 2.19 (foreground color: #ffffff, background color: #38c0c9, font size: 10.8pt, font weight: bold). Expected contrast ratio of 4.5:1': '<a href=""/donate"" target=""_blank"">Click Here to Donate!</a>', 'Fix any of the following:\n  Element has insufficient color contrast of 2.87 (foreground color: #f37060, background color: #ffffff, font size: 12.0pt, font weight: normal). Expected contrast ratio of 4.5:1': '<a href=""https://na4.documents.adobe.com/public/esignWidget?wid=CBFCIBAA3AAABLblqZhCgqrnD3MGWruDZVNEhqHwu0QsUdHF4reXTgCTwxwJkQeeADxVt7dikxgm4Y_u923M%2A"" class=""sqs-block-button-element--medium sqs-block-button-element"" target=""_blank"" data-initialized=""true"">Donate Vouchers</a>', 'Fix any of the following:\n  Element has insufficient color contrast of 2.19 (foreground color: #ffffff, background color: #38c0c9, font size: 10.8pt, font weight: normal). Expected contrast ratio of 4.5:1': '<a class=""btn btn--border theme-btn--primary-inverse"" href=""/donate"" target=""_blank"">\n                  Donate \n                </a>', 'Fix any of the following:\n  Element has insufficient color contrast of 2.87 (foreground color: #f37060, background color: #ffffff, font size: 38.4pt, font weight: bold). Expected contrast ratio of 3:1': '<h2 style=""text-align:center;white-space:pre-wrap;"">A New Generation of Leadership</h2>', 'Fix any of the following:\n  Element has insufficient color contrast of 2.19 (foreground color: #ffffff, background color: #38c0c9, font size: 13.2pt, font weight: normal). Expected contrast ratio of 4.5:1': '<a href=""https://na4.documents.adobe.com/public/esignWidget?wid=CBFCIBAA3AAABLblqZhCgqrnD3MGWruDZVNEhqHwu0QsUdHF4reXTgCTwxwJkQeeADxVt7dikxgm4Y_u923M%2A"" class=""sqs-block-button-element--large sqs-block-button-element"" target=""_blank"" data-initialized=""true"">', 'Fix any of the following:\n  Element has insufficient color contrast of 2.19 (foreground color: #38c0c9, background color: #ffffff, font size: 38.4pt, font weight: bold). Expected contrast ratio of 3:1': '<h2 style=""white-space:pre-wrap;"">Democracy Vouchers</h2>', 'Fix any of the following:\n  Element has insufficient color contrast of 2.19 (foreground color: #38c0c9, background color: #ffffff, font size: 12.0pt, font weight: bold). Expected contrast ratio of 4.5:1': '<strong>info@echohawkforseattle.com</strong>', 'Fix any of the following:\n  Element has insufficient color contrast of 2.87 (foreground color: #ffffff, background color: #f37060, font size: 12.0pt, font weight: normal). Expected contrast ratio of 4.5:1': '<a href=""/people-first-platform"" class=""sqs-block-button-element--medium sqs-block-button-element"" target=""_blank"" data-initialized=""true"">Read more</a>'}"
21,MAYOR,Echohawk,3,"Ensure that the page, or at least one of its frames contains a level-one heading",Page must contain a level-one heading,https://dequeuniversity.com/rules/axe/3.1/page-has-heading-one?application=axeAPI,page-has-heading-one,moderate,"['cat.semantics', 'best-practice']",https://www.echohawkforseattle.com/,"{'Fix all of the following:\n  Page must have a level-one heading': '<html xmlns:og=""http://opengraphprotocol.org/schema/"" xmlns:fb=""http://www.facebook.com/2008/fbml"" class=""yui3-js-enabled js-focus-visible js flexbox canvas canvastext webgl no-touch hashchange history draganddrop rgba hsla multiplebgs backgroundsize borderimage borderradius boxshadow textshadow opacity cssanimations csscolumns cssgradients no-cssreflections csstransforms no-csstransforms3d csstransitions video audio svg inlinesvg svgclippaths"" data-js-focus-visible="""" id=""yui_3_17_2_1_1629754965935_121"" lang=""en-US"">'}"
22,MAYOR,Echohawk,4,Ensures tabindex attribute values are not greater than 0,Elements should not have tabindex greater than zero,https://dequeuniversity.com/rules/axe/3.1/tabindex?application=axeAPI,tabindex,serious,"['cat.keyboard', 'best-practice']",https://www.echohawkforseattle.com/,"{'Fix any of the following:\n  Element has a tabindex greater than 0': '<a href=""#page"" tabindex=""1"" class=""header-skip-link"">\n      Skip to Content\n    </a>'}"
23,MAYOR,Farrell,1,Ensures role attribute has an appropriate value for the element,ARIA role must be appropriate for the element,https://dequeuniversity.com/rules/axe/3.1/aria-allowed-role?application=axeAPI,aria-allowed-role,minor,"['cat.aria', 'best-practice']",jessynformayor.com,"{'Fix any of the following:\n  role banner  is not allowed for given element': '<header id=""site-header"" class=""site-header bg-brand-blue text-white w-full relative"" role=""banner"" style=""z-index:900;"">', 'Fix any of the following:\n  role navigation  is not allowed for given element': '<nav class=""mobile-menu block"" aria-label=""Mobile"" role=""navigation"">'}"
24,MAYOR,Farrell,2,Ensures the contrast between foreground and background colors meets WCAG 2 AA contrast ratio thresholds,Elements must have sufficient color contrast,https://dequeuniversity.com/rules/axe/3.1/color-contrast?application=axeAPI,color-contrast,serious,"['cat.color', 'wcag2aa', 'wcag143']",jessynformayor.com,"{'Fix any of the following:\n  Element has insufficient color contrast of 3.9 (foreground color: #ffffff, background color: #ef3a4a, font size: 13.5pt, font weight: normal). Expected contrast ratio of 4.5:1': '<a href=""https://secure.anedot.com/jessyn/donate"" class=""button p-2 mr-2 bg-brand-red"">Donate</a>', 'Fix any of the following:\n  Element has insufficient color contrast of 3.14 (foreground color: #ffffff, background color: #7f9691, font size: 13.5pt, font weight: normal). Expected contrast ratio of 4.5:1': '<span class=""ml-2 -acfblock"">More</span>', 'Fix any of the following:\n  Element has insufficient color contrast of 2.34 (foreground color: #ef3a4a, background color: #364c4c, font size: 13.5pt, font weight: normal). Expected contrast ratio of 4.5:1': '<a href=""https://www.jessynformayor.com/privacy-policy/"">Privacy Policy</a>'}"
25,MAYOR,Farrell,3,Ensures <iframe> and <frame> elements contain a non-empty title attribute,Frames must have title attribute,https://dequeuniversity.com/rules/axe/3.1/frame-title?application=axeAPI,frame-title,serious,"['cat.text-alternatives', 'wcag2a', 'wcag241', 'wcag412', 'section508', 'section508.22.i']",jessynformayor.com,"{'Fix any of the following:\n  aria-label attribute does not exist or is empty\n  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty\n  Element has no title attribute or the title attribute is empty\n  Element\'s default semantics were not overridden with role=""presentation""\n  Element\'s default semantics were not overridden with role=""none""': '<iframe src=""https://na3.documents.adobe.com/public/esignWidget?wid=CBFCIBAA3AAABLblqZhBNiqS4If1q9vn_xYEzeO7umhCU37QIypT-uv2C11L7GLQhdNdvJwm0125BEVMmEew*&amp;hosted=false"" style=""border: 0px none; overflow: hidden; min-height: 500px; min-width: 600px; width: 1280px;"" data-origwidth=""100%"" data-origheight=""100%"" width=""100%"" height=""100%"" frameborder=""0"">'}"
26,MAYOR,Farrell,4,Ensures all page content is contained by landmarks,All page content must be contained by landmarks,https://dequeuniversity.com/rules/axe/3.1/region?application=axeAPI,region,moderate,"['cat.keyboard', 'best-practice']",jessynformayor.com,"{'Fix any of the following:\n  Some page content is not contained by landmarks': '<html prefix=""og: https://ogp.me/ns#"" lang=""en-US"">'}"
27,MAYOR,Gonzalez,1,Ensures role attribute has an appropriate value for the element,ARIA role must be appropriate for the element,https://dequeuniversity.com/rules/axe/3.1/aria-allowed-role?application=axeAPI,aria-allowed-role,minor,"['cat.aria', 'best-practice']",lorenaforseattle.com,"{'Fix any of the following:\n  role contentinfo  is not allowed for given element': '<footer id=""footer"" role=""contentinfo"" class=""site-footer main-footer footer-bottom-horizontal"">'}"
28,MAYOR,Gonzalez,2,Ensures the contrast between foreground and background colors meets WCAG 2 AA contrast ratio thresholds,Elements must have sufficient color contrast,https://dequeuniversity.com/rules/axe/3.1/color-contrast?application=axeAPI,color-contrast,serious,"['cat.color', 'wcag2aa', 'wcag143']",lorenaforseattle.com,"{'Fix any of the following:\n  Element has insufficient color contrast of 1.16 (foreground color: #ffffff, background color: #eeeeee, font size: 12.8pt, font weight: normal). Expected contrast ratio of 4.5:1': '<span>Volunteer</span>', 'Fix any of the following:\n  Element has insufficient color contrast of 3.89 (foreground color: #ffffff, background color: #0088cc, font size: 12.0pt, font weight: normal). Expected contrast ratio of 4.5:1': '<a href=""https://www.lorenaforseattle.com/replacementvoucher"">CLICK HERE</a>', 'Fix any of the following:\n  Element has insufficient color contrast of 1.54 (foreground color: #662666, background color: #222222, font size: 18.0pt, font weight: normal). Expected contrast ratio of 3:1': '<h2 class=""widgettitle"">#DreamBigWorkHard</h2>', 'Fix any of the following:\n  Element has insufficient color contrast of 3.3 (foreground color: #727272, background color: #222222, font size: 13.5pt, font weight: normal). Expected contrast ratio of 4.5:1': '<p>Paid for by Lorena for Seattle, PO Box 23011,&nbsp;Seattle, WA 98102</p>', 'Fix any of the following:\n  Element has insufficient color contrast of 4.22 (foreground color: #228cc0, background color: #222222, font size: 13.5pt, font weight: normal). Expected contrast ratio of 4.5:1': '<a class="""" href=""tel:2066515668"">206.651.5668</a>'}"
29,MAYOR,Gonzalez,3,Ensures <iframe> and <frame> elements contain a non-empty title attribute,Frames must have title attribute,https://dequeuniversity.com/rules/axe/3.1/frame-title?application=axeAPI,frame-title,serious,"['cat.text-alternatives', 'wcag2a', 'wcag241', 'wcag412', 'section508', 'section508.22.i']",lorenaforseattle.com,"{'Fix any of the following:\n  aria-label attribute does not exist or is empty\n  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty\n  Element has no title attribute or the title attribute is empty\n  Element\'s default semantics were not overridden with role=""presentation""\n  Element\'s default semantics were not overridden with role=""none""': '<iframe allow=""autoplay; fullscreen"" type=""text/html"" src=""https://www.youtube-nocookie.com/embed/xEGWAi-cmP0?version=3&amp;enablejsapi=1&amp;html5=1&amp;hd=1&amp;wmode=opaque&amp;showinfo=0&amp;rel=0&amp;origin=https://lorenaforseattle.com;"" allowfullscreen="""" class=""intrinsic-ignore"" style=""opacity:0;visibility:visible;width:100%;height:100%"" id=""iframe96572"" width=""100%"" height=""100%"">'}"
30,MAYOR,Gonzalez,4,Ensures the page has only one main landmark and each iframe in the page has at most one main landmark,Page must have one main landmark,https://dequeuniversity.com/rules/axe/3.1/landmark-one-main?application=axeAPI,landmark-one-main,moderate,"['cat.semantics', 'best-practice']",lorenaforseattle.com,"{'Fix all of the following:\n  Page does not have a main landmark': '<html class=""no-js js_active  vc_desktop  vc_transform  vc_transform  vc_transform "" style=""margin-top: 69.2px !important"" lang=""en-US"">'}"
31,MAYOR,Gonzalez,5,Ensures links have discernible text,Links must have discernible text,https://dequeuniversity.com/rules/axe/3.1/link-name?application=axeAPI,link-name,serious,"['cat.name-role-value', 'wcag2a', 'wcag412', 'wcag244', 'section508', 'section508.22.a']",lorenaforseattle.com,"{'Fix all of the following:\n  Element is in tab order and does not have accessible text\n\nFix any of the following:\n  Element does not have text that is visible to screen readers\n  aria-label attribute does not exist or is empty\n  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty\n  Element\'s default semantics were not overridden with role=""presentation""\n  Element\'s default semantics were not overridden with role=""none""': '<a href=""https://lorenaforseattle.com/wp-content/uploads/2021/01/LG4SEA-1-2-732x1024.jpg"" target=""_blank"" class=""vc_single_image-wrapper vc_box_shadow_border  vc_box_border_grey"">'}"
32,MAYOR,Gonzalez,6,"Ensure that the page, or at least one of its frames contains a level-one heading",Page must contain a level-one heading,https://dequeuniversity.com/rules/axe/3.1/page-has-heading-one?application=axeAPI,page-has-heading-one,moderate,"['cat.semantics', 'best-practice']",lorenaforseattle.com,"{'Fix all of the following:\n  Page must have a level-one heading': '<html class=""no-js js_active  vc_desktop  vc_transform  vc_transform  vc_transform "" style=""margin-top: 69.2px !important"" lang=""en-US"">'}"
33,MAYOR,Gonzalez,7,Ensures all page content is contained by landmarks,All page content must be contained by landmarks,https://dequeuniversity.com/rules/axe/3.1/region?application=axeAPI,region,moderate,"['cat.keyboard', 'best-practice']",lorenaforseattle.com,"{'Fix any of the following:\n  Some page content is not contained by landmarks': '<html class=""no-js js_active  vc_desktop  vc_transform  vc_transform  vc_transform "" style=""margin-top: 69.2px !important"" lang=""en-US"">'}"
34,MAYOR,Harrell,1,Ensures role attribute has an appropriate value for the element,ARIA role must be appropriate for the element,https://dequeuniversity.com/rules/axe/3.1/aria-allowed-role?application=axeAPI,aria-allowed-role,minor,"['cat.aria', 'best-practice']",bruceforseattle.com,"{'Fix any of the following:\n  role presentation  is not allowed for given element': '<button type=""button"" role=""presentation"" class=""owl-next""><span aria-label=""Next"">›</span></button>', 'Fix any of the following:\n  role slider  is not allowed for given element': '<input data-plyr=""volume"" type=""range"" min=""0"" max=""1"" step=""0.05"" value=""1"" autocomplete=""off"" role=""slider"" aria-label=""Volume"" aria-valuemin=""0"" aria-valuemax=""100"" aria-valuenow=""100"" id=""plyr-volume-2348"" aria-valuetext=""100.0%"" style=""--value:100%;"">', 'Fix any of the following:\n  role progressbar  is not allowed for given element': '<progress class=""plyr__progress__buffer"" min=""0"" max=""100"" value=""0"" role=""progressbar"" aria-hidden=""true"">% buffered</progress>'}"
35,MAYOR,Harrell,2,Ensures the contrast between foreground and background colors meets WCAG 2 AA contrast ratio thresholds,Elements must have sufficient color contrast,https://dequeuniversity.com/rules/axe/3.1/color-contrast?application=axeAPI,color-contrast,serious,"['cat.color', 'wcag2aa', 'wcag143']",bruceforseattle.com,"{'Fix any of the following:\n  Element has insufficient color contrast of 3.09 (foreground color: #ffffff, background color: #24a84b, font size: 17.6pt, font weight: normal). Expected contrast ratio of 4.5:1': '<p>We must rebuild the fundamental trust between city government and the people it serves. We need the highest standard of collaboration and vision. The stakes are too high.</p>', 'Fix any of the following:\n  Element has insufficient color contrast of 3.03 (foreground color: #ffffff, background color: #f46a1a, font size: 14.4pt, font weight: normal). Expected contrast ratio of 4.5:1': '<p class=""module__cta--subhead"">', 'Fix any of the following:\n  Element has insufficient color contrast of 2.84 (foreground color: #999999, background color: #ffffff, font size: 9.8pt, font weight: normal). Expected contrast ratio of 4.5:1': '<span class=""sbsw-count"">21</span>'}"
